Date,Forecast Pool Price,Actual Posted Pool Price,Day-Ahead Forecasted AIL,Actual AIL,Forecasted & Actual AIL Difference
2020-04-14 00:00:00,28.91,28.91,8786,8747.0,39.0
2020-04-14 01:00:00,28.96,28.96,8685,8668.0,17.0
2020-04-14 02:00:00,28.96,28.96,8639,8615.0,24.0
2020-04-14 03:00:00,28.94,28.94,8636,8593.0,43.0
2020-04-14 04:00:00,28.97,28.97,8693,8631.0,62.0
2020-04-14 05:00:00,30.69,28.98,8905,8712.0,193.0
2020-04-14 06:00:00,33.38,33.3,9268,8917.0,351.0
2020-04-14 07:00:00,33.8,33.78,9352,9139.0,213.0
2020-04-14 08:00:00,33.79,33.87,9522,9360.0,162.0
2020-04-14 09:00:00,33.91,33.94,9602,9431.0,171.0
2020-04-14 10:00:00,35.83,35.84,9631,9481.0,150.0
2020-04-14 11:00:00,35.72,35.73,9642,9484.0,158.0
2020-04-14 12:00:00,35.8,35.79,9610,9506.0,104.0
2020-04-14 13:00:00,35.65,,9598,,
2020-04-14 14:00:00,35.61,,9571,,
2020-04-14 15:00:00,32.88,,9556,,
2020-04-14 16:00:00,,,9569,,
2020-04-14 17:00:00,,,9569,,
2020-04-14 18:00:00,,,9419,,
2020-04-14 19:00:00,,,9362,,
2020-04-14 20:00:00,,,9457,,
2020-04-14 21:00:00,,,9457,,
2020-04-14 22:00:00,,,9158,,
2020-04-14 23:00:00,,,8837,,
2020-04-15 00:00:00,,,8659,,
2020-04-15 01:00:00,,,8544,,
2020-04-15 02:00:00,,,8487,,
2020-04-15 03:00:00,,,8478,,
2020-04-15 04:00:00,,,8528,,
2020-04-15 05:00:00,,,8743,,
