,ASSET,MC,TNG,DCR,Fuel,DateTime
0,Battle River #4 (BR4),155,0,0,COAL,2020-03-26 09:49:00
1,Battle River #5 (BR5),385,117,30,COAL,2020-03-26 09:49:00
2,Genesee #1 (GN1),400,404,0,COAL,2020-03-26 09:49:00
3,Genesee #2 (GN2),400,399,0,COAL,2020-03-26 09:49:00
4,Genesee #3 (GN3),466,464,0,COAL,2020-03-26 09:49:00
5,H.R. Milner (HRM),144,0,0,COAL,2020-03-26 09:49:00
6,Keephills #1 (KH1),395,387,0,COAL,2020-03-26 09:49:00
7,Keephills #2 (KH2),395,378,0,COAL,2020-03-26 09:49:00
8,Keephills #3 (KH3),463,427,0,COAL,2020-03-26 09:49:00
9,Sheerness #1 (SH1),400,151,15,COAL,2020-03-26 09:49:00
10,Sheerness #2 (SH2),390,0,0,COAL,2020-03-26 09:49:00
11,Sundance #3 (SD3),368,0,0,COAL,2020-03-26 09:49:00
12,Sundance #4 (SD4),406,0,0,COAL,2020-03-26 09:49:00
13,Sundance #5 (SD5),406,0,0,COAL,2020-03-26 09:49:00
14,Sundance #6 (SD6),401,100,70,COAL,2020-03-26 09:49:00
15,Bighorn Hydro (BIG),120,22,16,HYDRO,2020-03-26 09:49:00
16,Bow River Hydro (BOW1),320,60,68,HYDRO,2020-03-26 09:49:00
17,Brazeau Hydro (BRA),350,26,80,HYDRO,2020-03-26 09:49:00
18,Chin Chute (CHIN),15,0,0,HYDRO,2020-03-26 09:49:00
19,Dickson Dam (DKSN),15,4,0,HYDRO,2020-03-26 09:49:00
20,Irrican Hydro (ICP1),7,0,0,HYDRO,2020-03-26 09:49:00
21,Oldman River (OMRH),32,6,0,HYDRO,2020-03-26 09:49:00
22,Raymond Reservoir (RYMD),21,0,0,HYDRO,2020-03-26 09:49:00
23,Taylor Hydro (TAY1),14,0,0,HYDRO,2020-03-26 09:49:00
